Master file Fergusson College Botanical Garden census,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sr. no,Team,Census date,Species,GBH1,GBH2,GBH3,GBH4,GBH5,GBH6,GBH7,GBH8,GBH9,GBH10,GBH11,GBH12,Height (visual estimate),Tag number,Remarks,
119,"Ashish, Pranav",18-05-2018,Butea monosperma,33.8,,,,,,,,,,,,5,B1/P1-160,,
120,"Ashish, Pranav",18-05-2018,Ixora brachiata,27.4,,,,,,,,,,,,4,,,
121,"Ashish, Pranav",18-05-2018,Peltophorum pterocarpum,125.3,,,,,,,,,,,,7,,,
122,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,40.9,,,,,,,,,,,,10,,,
123,"Ashish, Pranav",18-05-2018,Anogeissus seresius,88,,,,,,,,,,,,11,,,
124,"Ashish, Pranav",18-05-2018,Dead (unidentified),114,,,,,,,,,,,,7,,,
125,"Ashish, Pranav",18-05-2018,Ehretia laevis,10,,,,,,,,,,,,2,,,
126,"Ashish, Pranav",18-05-2018,Guazuma ulmifolia,53.5,45,29,11,83,49.5,13,,,,,,8,,,
127,"Ashish, Pranav",18-05-2018,Ixora brachiata,23,,,,,,,,,,,,4,,,
128,"Ashish, Pranav",18-05-2018,Ehretia laevis,22,6,,,,,,,,,,,5,B1/P1-60,was Unidentified (3). Not acacia leucophloea and greggii,
129,"Ashish, Pranav",18-05-2018,Caesalpinia pulcherrima,11,9,13,,,,,,,,,,4,,,
130,"Ashish, Pranav",18-05-2018,Caesalpinia pulcherrima,4,6,,,,,,,,,,,3,,,
131,"Ashish, Pranav",18-05-2018,Tamarindus indica,74,,,,,,,,,,,,8,,,
132,"Ashish, Pranav",18-05-2018,Ixora brachiata,19.8,,,,,,,,,,,,4,,,
133,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,41,,,,,,,,,,,,9,,,
134,"Ashish, Pranav",18-05-2018,Acacia greggii,36,,,,,,,,,,,,8,,no 2006 plate,
135,"Ashish, Pranav",18-05-2018,Pongamia pinnata,108,,,,,,,,,,,,11,,was Unidentified (4),
136,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,106,,,,,,,,,,,,4,,,
137,"Ashish, Pranav",18-05-2018,Annona reticulata,62.5,,,,,,,,,,,,5,B1/P1-155,,
138,"Ashish, Pranav",18-05-2018,Sweitenia mahogany,354.1,,,,,,,,,,,,14,B1/P1-65,,
139,"Ashish, Pranav",18-05-2018,Ehretia laevis,4,,,,,,,,,,,,2,,,
140,"Ashish, Pranav",18-05-2018,Holoptelia integrifolia,59,,,,,,,,,,,,7,,,
141,"Ashish, Pranav",18-05-2018,Tamarindus indica,58,,,,,,,,,,,,8,,,
142,"Ashish, Pranav",18-05-2018,Cycas circinalis,72,68,,,,,,,,,,,4,,,
143,"Ashish, Pranav",18-05-2018,Santalum album,11,,,,,,,,,,,,3,,,
144,"Ashish, Pranav",18-05-2018,Santalum album,19,,,,,,,,,,,,3,,,
145,"Ashish, Pranav",18-05-2018,Santalum album,35.5,30,16,,,,,,,,,,4,,,
146,"Ashish, Pranav",18-05-2018,Santalum album,20.1,,,,,,,,,,,,3,,,
147,"Ashish, Pranav",18-05-2018,Santalum album,12,,,,,,,,,,,,3,,,
148,"Ashish, Pranav",18-05-2018,Tamarindus indica,26,,,,,,,,,,,,4,,,
149,"Ashish, Pranav",18-05-2018,Holoptelia integrifolia,25,,,,,,,,,,,,10,,,
150,"Ashish, Pranav",18-05-2018,Holoptelia integrifolia,105,,,,,,,,,,,,4,,,
151,"Ashish, Pranav",18-05-2018,Lannea coromandelica,110,,,,,,,,,,,,10,,,
152,"Ashish, Pranav",18-05-2018,Tamarindus indica,24,,,,,,,,,,,,4,,,
153,"Ashish, Pranav",18-05-2018,Tamarindus indica,132,,,,,,,,,,,,11,,,
154,"Ashish, Pranav",18-05-2018,Dendrocalamus strictus,5,,,,,,,,,,,,5,,,
155,"Ashish, Pranav",18-05-2018,Dendrocalamus strictus,16,15,14,14,10,15,15,12,14,16,,,3,,,
156,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,11,9,,,,,,,,,,,8,,,
157,"Ashish, Pranav",18-05-2018,Peltophorum pterocarpum,129.9,,,,,,,,,,,,11,,,
158,"Ashish, Pranav",18-05-2018,Delonix regia,115,,,,,,,,,,,,10,,,
159,"Ashish, Pranav",18-05-2018,Delonix regia,59.8,,,,,,,,,,,,9,B2/P1-109,,
160,"Ashish, Pranav",18-05-2018,Delonix regia,116,,,,,,,,,,,,13,B2/P1-165,,
161,"Ashish, Pranav",18-05-2018,Delonix regia,133,,,,,,,,,,,,12,,,
162,"Ashish, Pranav",18-05-2018,Santalum album,20,4,,,,,,,,,,,5,,,
163,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,30,47,40.3,50.5,,,,,,,,,8,,,
164,"Ashish, Pranav",18-05-2018,Jacaranda mimosaefolia,131,,,,,,,,,,,,13,,,
165,"Ashish, Pranav",18-05-2018,Unidentified (5),20,,,,,,,,,,,,4,,,
166,"Ashish, Pranav",18-05-2018,Annona reticulata,40.5,,,,,,,,,,,,7,,,
167,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,40,,,,,,,,,,,,6,,,
168,"Ashish, Pranav",18-05-2018,Ixora brachiata,15.1,,,,,,,,,,,,3,,,
169,"Ashish, Pranav",18-05-2018,Ixora brachiata,11,12,13.5,,,,,,,,,,4,,,
170,"Ashish, Pranav",18-05-2018,Annona reticulata,22,,,,,,,,,,,,4,,,
171,"Ashish, Pranav",18-05-2018,Anogeissus seresius,84,,,,,,,,,,,,13,,,
172,"Ashish, Pranav",18-05-2018,Peltophorum pterocarpum,38,,,,,,,,,,,,9,,,
173,"Ashish, Pranav",18-05-2018,Dead (unidentified),33.8,,,,,,,,,,,,9,,,
174,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,92.9,,,,,,,,,,,,11,,,
175,"Ashish, Pranav",18-05-2018,cassia siamea,109,,,,,,,,,,,,13,,,
176,"Ashish, Pranav",18-05-2018,Putranjiva roxburghii,50,,,,,,,,,,,,9,,,
177,"Ashish, Pranav",18-05-2018,Jacaranda mimosaefolia,72.6,,,,,,,,,,,,11,,,
178,"Ashish, Pranav",18-05-2018,Ixora brachiata,13.1,13,,,,,,,,,,,8,,,
179,"Ashish, Pranav",18-05-2018,Anogeissus seresius,99,,,,,,,,,,,,13,,,
180,"Ashish, Pranav",18-05-2018,Unidentified (6),13,,,,,,,,,,,,4,,,
181,"Ashish, Pranav",18-05-2018,Tamarindus indica,77,77,,,,,,,,,,,11,,,
182,"Ashish, Pranav",18-05-2018,Santalum album,17,,,,,,,,,,,,8,B2/P1-93,,
183,"Ashish, Pranav",18-05-2018,Dead (unidentified),173.5,,,,,,,,,,,,11,,,
184,"Ashish, Pranav",18-05-2018,Holoptelia integrifolia,201,,,,,,,,,,,,14,,,
185,"Ashish, Pranav",18-05-2018,Plumeria obtusa,11,5,,,,,,,,,,,3,,,
186,"Ashish, Pranav",18-05-2018,Plumeria obtusa,6,7,12,,,,,,,,,,3,,,
187,"Ashish, Pranav",18-05-2018,Plumeria obtusa,12,10,9,8,,,,,,,,,3,,,
188,"Ashish, Pranav",18-05-2018,Plumeria obtusa,8,7,4,11,,,,,,,,,3,,,
189,"Ashish, Pranav",18-05-2018,Holoptelia integrifolia,122,,,,,,,,,,,,13,,,
190,"Ashish, Pranav",18-05-2018,Tamarindus indica,45,,,,,,,,,,,,11,,,
191,"Ashish, Pranav",18-05-2018,Ixora brachiata,16.5,,,,,,,,,,,,3,,,
192,"Ashish, Pranav",18-05-2018,Leucaena leucocephala,16,19,,,,,,,,,,,8,,,
193,"Ashish, Pranav",18-05-2018,Delonix regia,126,,,,,,,,,,,,10,,,
194,"Ashish, Pranav",18-05-2018,Anogeissus seresius,17.2,,,,,,,,,,,,4,,,
195,"Ashish, Pranav",18-05-2018,Dead (unidentified),100,,,,,,,,,,,,10,,,
196,"Ashish, Pranav",18-05-2018,Anogeissus seresius,4,,,,,,,,,,,,2,,,
